district_name,group_id,group_name
RUMUOBIAKANI,4036,RUMUOMASI
RUMUOMASI,4036,RUMUOMASI
SHELL I A,4036,RUMUOMASI
BAPTIST,4037,BORIKIRI
BISHOP JOHNSON,4037,BORIKIRI
DOMINION,4037,BORIKIRI
U.P.E,4037,BORIKIRI
GIDEON,4038,BUNDU
HARBOUR,4038,BUNDU
IBETO,4038,BUNDU
MACOBAR,4038,BUNDU
MARKET,4038,BUNDU
N.P.A,4038,BUNDU
RECLAMATION,4038,BUNDU
SCHOOL ROAD,4038,BUNDU
EFIK BAPTIST,4039,EFIK-TOWN
EFIK BORIKIRI,4039,EFIK-TOWN
EFIK MARINE BASE,4039,EFIK-TOWN
EFIK NEW BUNDU,4039,EFIK-TOWN
EFIK NEW LAYOUT,4039,EFIK-TOWN
EFIK OLD BUNDU,4039,EFIK-TOWN
ANDONI BUNDU,4040,LANGUAGE
HAUSA RAINBOW,4040,LANGUAGE
KALABARI DIOBU,4040,LANGUAGE
KALABARI ELECHI,4040,LANGUAGE
KALABARI/IJAW TOWN,4040,LANGUAGE
OGONI AGIP,4040,LANGUAGE
OGONI OGBUNABALI,4040,LANGUAGE
OKRIKA MARINE BASE,4040,LANGUAGE
OKRIKA TOWN,4040,LANGUAGE
YORUBA ABULOMA,4040,LANGUAGE
YORUBA AGIP,4040,LANGUAGE
YORUBA AKABASE,4040,LANGUAGE
YORUBA ENEKA,4040,LANGUAGE
YORUBA MILE 3,4040,LANGUAGE
YORUBA OGBOGORO,4040,LANGUAGE
ESTATE,4041,MARINE BASE
GOSPEL,4041,MARINE BASE
N.E.P.A,4041,MARINE BASE
RAILWAY,4041,MARINE BASE
STATION,4041,MARINE BASE
WATER GLASS,4041,MARINE BASE
BISHOP JOHNSON,4042,TOWN
DOCKYARD,4042,TOWN
DOMINION,4042,TOWN
F.M,4042,TOWN
NEW LAYOUT,4042,TOWN
TOWN,4042,TOWN
EGBEMA,4043,NEW ROAD
ETCHE,4043,NEW ROAD
FEDERAL ESTATE,4043,NEW ROAD
HOLINESS,4043,NEW ROAD
NEW ROAD,4043,NEW ROAD
OKARKI,4043,NEW ROAD
ABEC DISTRICT,4044,ALCON
ALCON,4044,ALCON
GBALAJAM,4044,ALCON
NVUIGWE,4044,ALCON
CHEKWA,4045,ELELENWO
ELIMINIGWE,4045,ELELENWO
ODANI GREEN CITY,4045,ELELENWO
RUMUODUNWERE,4045,ELELENWO
SALVATION,4045,ELELENWO
BETHEL,4046,OIL MILL
OILMILL,4046,OIL MILL
RUMUEHELEZE 2,4046,OIL MILL
SCHOOL ROAD,4046,OIL MILL
